dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
dbpedia_14,64,0.05,symmetric,multinomial_nb,0.885825,-0.008762
dbpedia_14,64,0.05,symmetric,softmax_logreg,0.876273,-0.013038
dbpedia_14,64,0.05,symmetric,trimmed_softmax_logreg,0.677118,0.013368
dbpedia_14,64,0.1,class_conditional,linear_svm_hinge,0.814974,0.006432
dbpedia_14,64,0.1,class_conditional,multinomial_nb,0.872183,-0.022404
dbpedia_14,64,0.1,class_conditional,softmax_logreg,0.843637,-0.045675
dbpedia_14,64,0.1,class_conditional,trimmed_softmax_logreg,0.616794,-0.046957
dbpedia_14,64,0.1,symmetric,linear_svm_hinge,0.796687,-0.011854
dbpedia_14,64,0.1,symmetric,multinomial_nb,0.882105,-0.012482
dbpedia_14,64,0.1,symmetric,softmax_logreg,0.855374,-0.033937
dbpedia_14,64,0.1,symmetric,trimmed_softmax_logreg,0.656356,-0.007394
dbpedia_14,64,0.2,class_conditional,linear_svm_hinge,0.789852,-0.018690
dbpedia_14,64,0.2,class_conditional,multinomial_nb,0.829904,-0.064683
dbpedia_14,64,0.2,class_conditional,softmax_logreg,0.795375,-0.093937
dbpedia_14,64,0.2,class_conditional,trimmed_softmax_logreg,0.559436,-0.104314
dbpedia_14,64,0.2,symmetric,linear_svm_hinge,0.765785,-0.042757
dbpedia_14,64,0.2,symmetric,multinomial_nb,0.867154,-0.027433
dbpedia_14,64,0.2,symmetric,softmax_logreg,0.824144,-0.065167
dbpedia_14,64,0.2,symmetric,trimmed_softmax_logreg,0.615629,-0.048121
dbpedia_14,64,0.3,class_conditional,linear_svm_hinge,0.727574,-0.080968
dbpedia_14,64,0.3,class_conditional,multinomial_nb,0.749672,-0.144915
dbpedia_14,64,0.3,class_conditional,softmax_logreg,0.676339,-0.212972
dbpedia_14,64,0.3,class_conditional,trimmed_softmax_logreg,0.492279,-0.171471
